id,book_name,author,publication_year,price,is_available
1,War and Peace,Leo Tolstoy,1851-07-12,1928,TRUE
2,Frankenstein,Mary Shelley,1868-10-14,957,TRUE
3,The Odyssey,Homer,1875-10-21,1269,FALSE
4,The Odyssey,Homer,1946-06-11,280,FALSE
5,The Picture of Dorian Gray,Oscar Wilde,1892-06-19,999,FALSE
6,Frankenstein,Mary Shelley,1885-09-23,826,TRUE
7,The Brothers Karamazov,Fyodor Dostoevsky,1875-01-24,605,FALSE
8,Wuthering Heights,Emily Brontë,1854-06-30,784,TRUE
9,War and Peace,Leo Tolstoy,2016-07-15,1865,TRUE
10,Wuthering Heights,Emily Brontë,1992-10-08,741,TRUE
11,War and Peace,Leo Tolstoy,1851-12-17,1396,TRUE
12,A Tale of Two Cities,Charles Dickens,1984-06-07,677,TRUE
13,Sense and Sensibility,Jane Austen,1940-04-27,733,FALSE
14,Jane Eyre,Charlotte Brontë,1892-12-23,1765,TRUE
15,Anna Karenina,Leo Tolstoy,1926-09-18,1330,TRUE
16,The Picture of Dorian Gray,Oscar Wilde,1894-02-02,472,FALSE
17,Great Expectations,Charles Dickens,1998-08-22,1954,FALSE
18,The Picture of Dorian Gray,Oscar Wilde,1909-12-26,1319,TRUE
19,Anna Karenina,Leo Tolstoy,1850-11-11,700,TRUE
20,The Brothers Karamazov,Fyodor Dostoevsky,1979-09-13,805,TRUE
21,Les Misérables,Victor Hugo,1980-02-25,665,FALSE
22,Jane Eyre,Charlotte Brontë,1990-02-14,1810,FALSE
23,Les Misérables,Victor Hugo,1913-09-11,316,TRUE
24,The Odyssey,Homer,1967-03-12,471,FALSE
25,Dracula,Bram Stoker,1885-12-22,1517,FALSE
26,The Picture of Dorian Gray,Oscar Wilde,1893-09-16,976,FALSE
27,Wuthering Heights,Emily Brontë,1938-03-27,340,FALSE
28,Moby-Dick,Herman Melville,1907-04-08,766,FALSE
29,Crime and Punishment,Fyodor Dostoevsky,1896-03-02,1149,FALSE
30,Sense and Sensibility,Jane Austen,1939-02-23,1470,FALSE
31,Crime and Punishment,Fyodor Dostoevsky,1962-06-01,1876,FALSE
32,War and Peace,Leo Tolstoy,1872-10-18,910,TRUE
33,Wuthering Heights,Emily Brontë,2010-08-27,1093,FALSE
34,The Brothers Karamazov,Fyodor Dostoevsky,1884-11-18,1255,TRUE
35,Pride and Prejudice,Jane Austen,1908-07-10,1634,TRUE
36,Don Quixote,Miguel de Cervantes,1882-07-20,1503,TRUE
37,A Tale of Two Cities,Charles Dickens,1979-12-13,596,TRUE
38,The Picture of Dorian Gray,Oscar Wilde,1955-08-31,1461,FALSE
39,Frankenstein,Mary Shelley,1988-09-08,1331,FALSE
40,The Brothers Karamazov,Fyodor Dostoevsky,1964-09-09,1721,FALSE
41,A Tale of Two Cities,Charles Dickens,1971-05-20,1696,FALSE
42,Moby-Dick,Herman Melville,2015-10-13,1323,TRUE
43,Sense and Sensibility,Jane Austen,2016-03-26,1721,TRUE
44,Wuthering Heights,Emily Brontë,1886-12-23,679,FALSE
45,Jane Eyre,Charlotte Brontë,1969-03-22,1972,TRUE
46,Frankenstein,Mary Shelley,1902-12-04,1425,TRUE
47,The Adventures of Sherlock Holmes,Arthur Conan Doyle,2006-11-21,1196,FALSE
48,Great Expectations,Charles Dickens,1855-05-01,1293,FALSE
49,Jane Eyre,Charlotte Brontë,1895-05-05,442,TRUE
50,Pride and Prejudice,Jane Austen,1892-11-07,611,FALSE
51,The Iliad,Homer,1926-06-23,1187,TRUE
52,The Odyssey,Homer,1890-11-14,680,TRUE
53,Dracula,Bram Stoker,1917-04-30,1045,FALSE
54,Don Quixote,Miguel de Cervantes,1858-10-21,371,FALSE
55,War and Peace,Leo Tolstoy,1972-11-18,621,TRUE
56,Frankenstein,Mary Shelley,1952-07-07,616,TRUE
57,Crime and Punishment,Fyodor Dostoevsky,1958-01-08,319,TRUE
58,Sense and Sensibility,Jane Austen,1965-05-07,1792,TRUE
59,Wuthering Heights,Emily Brontë,1915-06-17,1255,TRUE
60,The Picture of Dorian Gray,Oscar Wilde,1912-10-30,525,FALSE
61,The Picture of Dorian Gray,Oscar Wilde,1853-04-27,1160,FALSE
62,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1956-08-12,1391,TRUE
63,Great Expectations,Charles Dickens,1954-12-21,1113,FALSE
64,The Iliad,Homer,1905-01-27,1389,TRUE
65,Sense and Sensibility,Jane Austen,2000-06-16,991,FALSE
66,Dracula,Bram Stoker,2010-02-21,787,TRUE
67,The Picture of Dorian Gray,Oscar Wilde,2020-05-26,292,TRUE
68,The Brothers Karamazov,Fyodor Dostoevsky,1951-03-16,1115,TRUE
69,Pride and Prejudice,Jane Austen,2003-02-08,1198,FALSE
70,Don Quixote,Miguel de Cervantes,1951-06-08,1596,TRUE
71,Les Misérables,Victor Hugo,1858-03-31,1860,FALSE
72,Don Quixote,Miguel de Cervantes,1992-03-08,1007,FALSE
73,The Count of Monte Cristo,Alexandre Dumas,2019-10-19,635,FALSE
74,Jane Eyre,Charlotte Brontë,1955-04-12,1698,FALSE
75,Don Quixote,Miguel de Cervantes,1856-12-11,986,TRUE
76,Jane Eyre,Charlotte Brontë,1867-12-24,1372,FALSE
77,Les Misérables,Victor Hugo,2020-05-26,744,FALSE
78,Jane Eyre,Charlotte Brontë,1997-11-28,551,FALSE
79,Anna Karenina,Leo Tolstoy,1887-08-26,1451,FALSE
80,The Brothers Karamazov,Fyodor Dostoevsky,1995-03-15,431,TRUE
81,Sense and Sensibility,Jane Austen,1926-02-04,1307,TRUE
82,Wuthering Heights,Emily Brontë,1975-10-06,1082,FALSE
83,The Picture of Dorian Gray,Oscar Wilde,1987-11-04,840,TRUE
84,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1905-05-29,1897,TRUE
85,Great Expectations,Charles Dickens,1899-06-05,1336,FALSE
86,Jane Eyre,Charlotte Brontë,1936-07-03,726,FALSE
87,Dracula,Bram Stoker,1963-08-30,659,TRUE
88,Les Misérables,Victor Hugo,2004-06-10,1024,TRUE
89,Frankenstein,Mary Shelley,1863-11-03,1368,FALSE
90,War and Peace,Leo Tolstoy,1946-11-08,1314,FALSE
91,Sense and Sensibility,Jane Austen,2019-11-05,1835,TRUE
92,Les Misérables,Victor Hugo,1991-10-11,1057,FALSE
93,Sense and Sensibility,Jane Austen,2005-04-12,233,FALSE
94,Sense and Sensibility,Jane Austen,1960-04-30,1022,FALSE
95,Frankenstein,Mary Shelley,1959-08-17,1267,TRUE
96,The Adventures of Sherlock Holmes,Arthur Conan Doyle,2006-10-09,315,TRUE
97,Wuthering Heights,Emily Brontë,1894-07-27,1379,FALSE
98,Don Quixote,Miguel de Cervantes,1865-06-01,354,FALSE
99,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1962-06-04,1710,TRUE
100,Sense and Sensibility,Jane Austen,1911-12-12,1381,FALSE
101,Sense and Sensibility,Jane Austen,1921-12-05,1820,TRUE
102,Moby-Dick,Herman Melville,1998-03-05,1500,TRUE
103,A Tale of Two Cities,Charles Dickens,1914-06-19,1410,TRUE
104,Wuthering Heights,Emily Brontë,1984-01-05,1641,TRUE
105,Don Quixote,Miguel de Cervantes,1929-06-19,886,TRUE
106,The Picture of Dorian Gray,Oscar Wilde,1863-11-16,1306,TRUE
107,Moby-Dick,Herman Melville,1883-03-18,468,FALSE
108,The Odyssey,Homer,1977-09-23,212,FALSE
109,Dracula,Bram Stoker,1928-06-02,1112,FALSE
110,A Tale of Two Cities,Charles Dickens,2020-08-02,1837,TRUE
111,The Picture of Dorian Gray,Oscar Wilde,1855-02-05,1741,FALSE
112,Jane Eyre,Charlotte Brontë,1970-05-05,343,TRUE
113,A Tale of Two Cities,Charles Dickens,1988-07-24,1438,TRUE
114,Pride and Prejudice,Jane Austen,1995-10-17,216,FALSE
115,The Brothers Karamazov,Fyodor Dostoevsky,1888-05-27,600,FALSE
116,Crime and Punishment,Fyodor Dostoevsky,1887-12-26,1430,TRUE
117,Anna Karenina,Leo Tolstoy,1887-03-09,846,FALSE
118,Frankenstein,Mary Shelley,1972-01-25,215,TRUE
119,Pride and Prejudice,Jane Austen,1872-07-12,522,FALSE
120,Crime and Punishment,Fyodor Dostoevsky,2012-04-11,646,TRUE
121,Wuthering Heights,Emily Brontë,1966-06-28,815,TRUE
122,The Iliad,Homer,1967-08-26,268,FALSE
123,The Odyssey,Homer,1883-05-23,1124,TRUE
124,A Tale of Two Cities,Charles Dickens,1963-05-30,1684,FALSE
125,Anna Karenina,Leo Tolstoy,1952-03-12,1202,FALSE
126,Crime and Punishment,Fyodor Dostoevsky,1996-02-29,1597,FALSE
127,The Odyssey,Homer,1996-10-07,427,TRUE
128,War and Peace,Leo Tolstoy,1859-08-07,1249,TRUE
129,Wuthering Heights,Emily Brontë,1922-05-14,543,TRUE
130,The Picture of Dorian Gray,Oscar Wilde,1857-10-12,880,FALSE
131,War and Peace,Leo Tolstoy,1954-04-27,1426,FALSE
132,Sense and Sensibility,Jane Austen,1999-08-18,1313,TRUE
133,The Count of Monte Cristo,Alexandre Dumas,1921-02-13,1798,TRUE
134,Pride and Prejudice,Jane Austen,1975-02-02,934,FALSE
135,Dracula,Bram Stoker,1977-04-20,1690,FALSE
136,A Tale of Two Cities,Charles Dickens,1956-07-25,1977,FALSE
137,Sense and Sensibility,Jane Austen,2010-02-26,839,FALSE
138,War and Peace,Leo Tolstoy,1865-03-08,422,FALSE
139,Dracula,Bram Stoker,1956-04-14,1931,FALSE
140,Crime and Punishment,Fyodor Dostoevsky,2017-01-17,1336,FALSE
141,War and Peace,Leo Tolstoy,1889-10-04,1925,FALSE
142,Sense and Sensibility,Jane Austen,1930-12-14,324,TRUE
143,Wuthering Heights,Emily Brontë,1853-06-05,412,FALSE
144,Don Quixote,Miguel de Cervantes,1973-03-29,787,FALSE
145,Jane Eyre,Charlotte Brontë,1942-09-03,715,FALSE
146,The Odyssey,Homer,1984-01-01,1055,TRUE
147,Wuthering Heights,Emily Brontë,2005-08-31,1089,TRUE
148,Jane Eyre,Charlotte Brontë,1930-07-21,1372,FALSE
149,The Picture of Dorian Gray,Oscar Wilde,1943-02-16,352,TRUE
150,The Picture of Dorian Gray,Oscar Wilde,1954-10-14,628,FALSE
151,Great Expectations,Charles Dickens,1945-02-06,1477,TRUE
152,The Iliad,Homer,1880-12-09,244,TRUE
153,Crime and Punishment,Fyodor Dostoevsky,1887-05-07,1755,TRUE
154,The Count of Monte Cristo,Alexandre Dumas,1938-03-16,1449,TRUE
155,Frankenstein,Mary Shelley,1995-10-15,1525,FALSE
156,The Picture of Dorian Gray,Oscar Wilde,1936-03-05,444,TRUE
157,War and Peace,Leo Tolstoy,1887-02-11,238,FALSE
158,The Brothers Karamazov,Fyodor Dostoevsky,1937-05-21,1220,FALSE
159,Wuthering Heights,Emily Brontë,1980-02-18,429,FALSE
160,The Brothers Karamazov,Fyodor Dostoevsky,1914-04-20,1542,TRUE
161,Les Misérables,Victor Hugo,1861-04-15,445,FALSE
162,The Count of Monte Cristo,Alexandre Dumas,1882-05-02,1574,FALSE
163,Les Misérables,Victor Hugo,1884-03-03,1891,FALSE
164,The Picture of Dorian Gray,Oscar Wilde,1935-07-31,561,FALSE
165,The Picture of Dorian Gray,Oscar Wilde,1950-04-20,1535,TRUE
166,Great Expectations,Charles Dickens,1949-07-25,412,FALSE
167,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1878-05-28,990,FALSE
168,Frankenstein,Mary Shelley,1957-04-15,807,TRUE
169,Dracula,Bram Stoker,1947-05-27,255,FALSE
170,A Tale of Two Cities,Charles Dickens,2005-05-05,1518,TRUE
171,The Picture of Dorian Gray,Oscar Wilde,1972-05-15,959,TRUE
